DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 y_recon.wav	 0.841	 0.000	 0	 8000	0.0000
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.896	 0.000	 0	 8000	0.0000
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.841	 0.000	 0	 8000	0.0000
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.896	 0.000	 0	 8000	0.0160
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.890	 0.000	 0	 8000	0.0160
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.891	 0.000	 0	 8000	0.0040
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.904	 0.000	 0	 8000	0.0040
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.884	 0.000	 0	 8000	0.0040
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.912	 0.000	 0	 8000	0.0000
 sp01_babble_sn0_enhanced.wav	 1.320	 0.000	 0	 8000	0.0160
 sp02_babble_sn0_enhanced.wav	 0.874	 0.000	 0	 8000	0.0040
 sp01_babble_sn0_enhanced.wav	 1.005	 0.000	 0	 8000	0.0040
 sp02_babble_sn0_enhanced.wav	 0.930	 0.000	 0	 8000	-0.0080
 sp03_babble_sn0_enhanced.wav	 0.431	 0.000	 0	 8000	0.0040
 sp01_babble_sn0_enhanced.wav	 1.022	 0.000	 0	 8000	0.0040
 sp01_babble_sn0_enhanced.wav	 0.966	 0.000	 0	 8000	0.0040
 sp02_babble_sn0_enhanced.wav	 0.964	 0.000	 0	 8000	-0.0080
 sp03_babble_sn0_enhanced.wav	 0.403	 0.000	 0	 8000	0.0040
 sp04_babble_sn0_enhanced.wav	 1.117	 0.000	 0	 8000	0.0000
 sp05_babble_sn0_enhanced.wav	 0.870	 0.000	 0	 8000	0.0240
 sp06_babble_sn0_enhanced.wav	 1.101	 0.000	 0	 8000	-0.1120
 sp07_babble_sn0_enhanced.wav	 1.143	 0.000	 0	 8000	0.0280
 sp08_babble_sn0_enhanced.wav	 0.952	 0.000	 0	 8000	0.0000
 sp09_babble_sn0_enhanced.wav	 0.493	 0.000	 0	 8000	-0.0040
 sp10_babble_sn0_enhanced.wav	 0.842	 0.000	 0	 8000	0.0040
 sp11_babble_sn0_enhanced.wav	 0.978	 0.000	 0	 8000	-0.0040
 sp12_babble_sn0_enhanced.wav	 0.652	 0.000	 0	 8000	-0.0280
 sp13_babble_sn0_enhanced.wav	 0.886	 0.000	 0	 8000	-0.0480
 sp14_babble_sn0_enhanced.wav	 0.385	 0.000	 0	 8000	0.0000
 sp15_babble_sn0_enhanced.wav	 0.384	 0.000	 0	 8000	0.3920
 sp16_babble_sn0_enhanced.wav	 0.633	 0.000	 0	 8000	-0.0080
 sp17_babble_sn0_enhanced.wav	 0.449	 0.000	 0	 8000	-0.0560
 sp18_babble_sn0_enhanced.wav	 0.517	 0.000	 0	 8000	0.0000
 sp19_babble_sn0_enhanced.wav	 0.469	 0.000	 0	 8000	0.0120
 sp20_babble_sn0_enhanced.wav	 0.587	 0.000	 0	 8000	0.0000
 sp21_babble_sn0_enhanced.wav	 1.597	 0.000	 0	 8000	0.0080
 sp22_babble_sn0_enhanced.wav	 0.768	 0.000	 0	 8000	0.0080
 sp23_babble_sn0_enhanced.wav	 0.781	 0.000	 0	 8000	0.0520
 sp24_babble_sn0_enhanced.wav	 1.003	 0.000	 0	 8000	0.0160
 sp25_babble_sn0_enhanced.wav	 1.328	 0.000	 0	 8000	0.0440
 sp26_babble_sn0_enhanced.wav	 0.963	 0.000	 0	 8000	0.0160
 sp27_babble_sn0_enhanced.wav	 0.949	 0.000	 0	 8000	0.0000
 sp28_babble_sn0_enhanced.wav	 0.874	 0.000	 0	 8000	0.0040
 sp29_babble_sn0_enhanced.wav	 0.734	 0.000	 0	 8000	0.0000
 sp30_babble_sn0_enhanced.wav	 1.492	 0.000	 0	 8000	0.0040
 sp01_babble_sn10_enhanced.wav	 0.929	 0.000	 0	 8000	0.0080
 sp02_babble_sn10_enhanced.wav	 0.830	 0.000	 0	 8000	0.0000
 sp03_babble_sn10_enhanced.wav	 0.446	 0.000	 0	 8000	-0.0120
 sp04_babble_sn10_enhanced.wav	 1.110	 0.000	 0	 8000	0.0000
 sp05_babble_sn10_enhanced.wav	 0.812	 0.000	 0	 8000	0.0000
 sp06_babble_sn10_enhanced.wav	 1.121	 0.000	 0	 8000	0.0040
 sp07_babble_sn10_enhanced.wav	 1.101	 0.000	 0	 8000	0.0000
 sp08_babble_sn10_enhanced.wav	 0.937	 0.000	 0	 8000	-0.0040
 sp09_babble_sn10_enhanced.wav	 1.046	 0.000	 0	 8000	-0.0040
 sp10_babble_sn10_enhanced.wav	 0.905	 0.000	 0	 8000	0.0040
 sp11_babble_sn10_enhanced.wav	 0.992	 0.000	 0	 8000	-0.0040
 sp12_babble_sn10_enhanced.wav	 0.682	 0.000	 0	 8000	-0.0040
 sp13_babble_sn10_enhanced.wav	 0.757	 0.000	 0	 8000	-0.0040
 sp14_babble_sn10_enhanced.wav	 0.649	 0.000	 0	 8000	-0.0080
 sp15_babble_sn10_enhanced.wav	 0.657	 0.000	 0	 8000	0.0000
 sp16_babble_sn10_enhanced.wav	 0.521	 0.000	 0	 8000	0.0000
 sp17_babble_sn10_enhanced.wav	 0.473	 0.000	 0	 8000	-0.0080
 sp18_babble_sn10_enhanced.wav	 0.488	 0.000	 0	 8000	0.0000
 sp19_babble_sn10_enhanced.wav	 0.370	 0.000	 0	 8000	0.0000
 sp20_babble_sn10_enhanced.wav	 0.344	 0.000	 0	 8000	0.0000
 sp21_babble_sn10_enhanced.wav	 1.090	 0.000	 0	 8000	-0.0080
 sp22_babble_sn10_enhanced.wav	 0.577	 0.000	 0	 8000	-0.0040
 sp23_babble_sn10_enhanced.wav	 0.828	 0.000	 0	 8000	0.0040
 sp24_babble_sn10_enhanced.wav	 0.919	 0.000	 0	 8000	0.0080
 sp25_babble_sn10_enhanced.wav	 1.333	 0.000	 0	 8000	-0.0080
 sp26_babble_sn10_enhanced.wav	 0.836	 0.000	 0	 8000	0.0040
 sp27_babble_sn10_enhanced.wav	 0.838	 0.000	 0	 8000	0.0000
 sp28_babble_sn10_enhanced.wav	 0.762	 0.000	 0	 8000	-0.0040
 sp29_babble_sn10_enhanced.wav	 0.730	 0.000	 0	 8000	0.0040
 sp30_babble_sn10_enhanced.wav	 0.958	 0.000	 0	 8000	0.0040
 sp01_babble_sn15_enhanced.wav	 0.806	 0.000	 0	 8000	0.0000
 sp02_babble_sn15_enhanced.wav	 0.838	 0.000	 0	 8000	0.0000
 sp03_babble_sn15_enhanced.wav	 0.778	 0.000	 0	 8000	-0.0040
 sp04_babble_sn15_enhanced.wav	 1.035	 0.000	 0	 8000	0.0040
 sp05_babble_sn15_enhanced.wav	 0.752	 0.000	 0	 8000	0.0080
 sp06_babble_sn15_enhanced.wav	 0.947	 0.000	 0	 8000	-0.0080
 sp07_babble_sn15_enhanced.wav	 1.171	 0.000	 0	 8000	0.0160
 sp08_babble_sn15_enhanced.wav	 1.028	 0.000	 0	 8000	-0.0040
 sp09_babble_sn15_enhanced.wav	 1.152	 0.000	 0	 8000	-0.0080
 sp10_babble_sn15_enhanced.wav	 1.040	 0.000	 0	 8000	0.0040
 sp11_babble_sn15_enhanced.wav	 0.919	 0.000	 0	 8000	-0.0040
 sp12_babble_sn15_enhanced.wav	 0.702	 0.000	 0	 8000	-0.0080
 sp13_babble_sn15_enhanced.wav	 0.744	 0.000	 0	 8000	0.0000
 sp14_babble_sn15_enhanced.wav	 0.476	 0.000	 0	 8000	0.0000
 sp15_babble_sn15_enhanced.wav	 0.655	 0.000	 0	 8000	0.0000
 sp16_babble_sn15_enhanced.wav	 0.616	 0.000	 0	 8000	0.0000
 sp17_babble_sn15_enhanced.wav	 0.565	 0.000	 0	 8000	0.0000
 sp18_babble_sn15_enhanced.wav	 0.350	 0.000	 0	 8000	0.0000
 sp19_babble_sn15_enhanced.wav	 0.389	 0.000	 0	 8000	0.0040
 sp20_babble_sn15_enhanced.wav	 0.333	 0.000	 0	 8000	0.0000
 sp21_babble_sn15_enhanced.wav	 1.070	 0.000	 0	 8000	-0.0040
 sp22_babble_sn15_enhanced.wav	 0.505	 0.000	 0	 8000	-0.0040
 sp23_babble_sn15_enhanced.wav	 1.021	 0.000	 0	 8000	0.0040
 sp24_babble_sn15_enhanced.wav	 0.841	 0.000	 0	 8000	0.0000
 sp25_babble_sn15_enhanced.wav	 1.151	 0.000	 0	 8000	-0.0040
 sp26_babble_sn15_enhanced.wav	 0.797	 0.000	 0	 8000	0.0000
 sp27_babble_sn15_enhanced.wav	 0.790	 0.000	 0	 8000	-0.0040
 sp28_babble_sn15_enhanced.wav	 0.650	 0.000	 0	 8000	0.0000
 sp29_babble_sn15_enhanced.wav	 0.590	 0.000	 0	 8000	0.0040
 sp30_babble_sn15_enhanced.wav	 0.918	 0.000	 0	 8000	0.0000
 sp01_babble_sn0_enhanced.wav	 0.512	 0.000	 0	 8000	2.4560
 sp02_babble_sn0_enhanced.wav	 0.483	 0.000	 0	 8000	1.5520
 sp03_babble_sn0_enhanced.wav	 0.153	 0.000	 0	 8000	1.8040
 sp04_babble_sn0_enhanced.wav	 0.524	 0.000	 0	 8000	0.9200
 sp05_babble_sn0_enhanced.wav	 0.543	 0.000	 0	 8000	1.9560
 sp06_babble_sn0_enhanced.wav	 0.628	 0.000	 0	 8000	2.0600
 sp07_babble_sn0_enhanced.wav	 0.651	 0.000	 0	 8000	2.1320
 
